災民收容所名稱,管理人電話,收容所縣市,收容所鄉鎮,收容所地址
高平第一市民活動中心,"03-4717346
0912252185",桃園市,龍潭區,龍潭區高平里龍源路10鄰11號
高平市民活動中心,"03-4717359
0936206809",桃園市,龍潭區,龍潭區高平里高楊南路180號
高原市民活動中心,"03-4718462
0903060562",桃園市,龍潭區,龍潭區中原路3段135號
富林市民活動中心,"03-4705872
0912893505",桃園市,龍潭區,龍潭區建國路278號
聖德市民活動中心,"03-4893281
0928212638",桃園市,龍潭區,龍潭區湧光路533號
龍潭市民活動中心,"03-4795072
0932103371",桃園市,龍潭區,龍潭區龍潭里南龍路13號
大烏林市民活動中心, 0975-620029,桃園市,龍潭區,龍潭區龍潭里烏林里工一路88巷36號
龍星市民活動中心 ,"03-4994868
0916166869",桃園市,龍潭區, 龍潭區龍星里龍華路100號
武漢國中,03-4806468#510   0953811483,桃園市,龍潭區,龍潭區武中路227號
龍潭高中,03-4792829#160   0933-970757,桃園市,龍潭區,龍潭區神龍路155號
德龍國小,03-4792524#510   0936484066,桃園市,龍潭區,龍潭區聖亭路八德段451巷140號
武漢國小,(03)4792873＃510            0918-055816,桃園市,龍潭區,龍潭區武漢路100號
潛龍國小,03-4792153#520    0930159925,桃園市,龍潭區,龍潭區中豐路401號
龍潭國中,03-4792075#511   0910030254,桃園市,龍潭區,龍潭區龍華路460號
龍星國小,(03)4797299＃510            0986-807533,桃園市,龍潭區,龍潭區中正路269號
凌雲國中,(03)4792604＃511    0953373230,桃園市,龍潭區,龍潭區中豐路上林段418號
雙龍國小,03-4991888#510   0937406928,桃園市,龍潭區,龍潭區神龍路346號
龍源國小,(03)4717149＃510           0916-034086,桃園市,龍潭區,龍潭區龍源路121巷110弄39號
高原國小,(03)4717009＃520          0926-375736,桃園市,龍潭區,龍潭區高原路568號
三和國小,(03)4792154＃510     0978-035303 ,桃園市,龍潭區,龍潭區龍新路三和段1356號
龍潭國小,(03)4792014＃510     0933-170398,桃園市,龍潭區,龍潭區南龍路13號
石門國小,(03)4711752＃512          0922-486358,桃園市,龍潭區,龍潭區文化路188號
石門國中,(03)4713610＃510      0920-596820,桃園市,龍潭區,龍潭區文化路137號
三坑國小,(03)4713627＃510      0936-315613,桃園市,龍潭區,龍潭區永昌路51巷85號
新生醫護管理專科學校,(03)411-7578#9,桃園市,龍潭區,龍潭區中豐路高平段418號
龍潭運動公園,03-4793070#1122   0918968121,桃園市,龍潭區,公園路67號
龜山區公所三樓禮堂,03-3203711 ＃803,桃園市,龜山區,龜山區新路里中山街26號
大華市民活動中心,932797572,桃園市,龜山區,龜山區大華里文化七路118巷7號
大同市民活動中心,03-3200962,桃園市,龜山區,龜山區大同里明德路203巷10號
幸福市民活動中心,03-3290331,桃園市,龜山區,龜山區幸福里幸福一街38號1號
南上市民活動中心,03-3551856,桃園市,龜山區,龜山區南上里民生北路一段356巷386-1號
山頂市民活動中心,03-3293119,桃園市,龜山區,龜山區明興街36號
嶺頂市民活動中心,03-3597113,桃園市,龜山區,龜山區嶺頂里萬壽路二段6巷61號
大崗市民活動中心,03-3282434,桃園市,龜山區,龜山區大崗里忠義路二段491號
精忠第二市民活動中心,0976315743,桃園市,龜山區,龜山區精忠里光峰路141號
兔坑第一市民活動中心,03-3495524,桃園市,龜山區,龜山區兔坑里村大同路918號
文化市民活動中心,03-3979190,桃園市,龜山區,龜山區文昌五街99號
樂善市民活動中心,03-3281905,桃園市,龜山區,龜山區樂善里樂安街7-1號
舊路市民活動中心,03-3590596,桃園市,龜山區,龜山區舊路里振興路1278巷29號-振天宮
龜山市民活動中心,03-3295939,桃園市,龜山區,龜山區龜山里中興路一段50號
山福市民活動中心,937956126,桃園市,龜山區,龜山區山福里中興路152號
廻龍市民活動中心,02-82000095,桃園市,龜山區,龜山區迴龍里宏慶街34巷48-1號
龍華市民活動中心,02-82001127,桃園市,龜山區,龜山區龍華里萬壽路一段422巷22弄43-1號
長庚醫護社區活動      文康中心,03-3282426,桃園市,龜山區,龜山區長庚里長庚一街 80號B1
樂善國小,03-3281002＃510,桃園市,龜山區,龜山區樂善里11鄰樂安街71號
文華國小,03-3279014＃513,桃園市,龜山區,龜山區文化七路116號
文欣國小,03-3974893＃310,桃園市,龜山區,龜山區文昌五街95號
山頂國小,03-3207244＃511,桃園市,龜山區,龜山區頂興路2號
迴龍國中小,02-82096088＃511,桃園市,龜山區,龜山區萬壽路一段168號
幸福國小,03-3194072＃511,桃園市,龜山區,龜山區頂興路115巷20號
幸福國中,03-3298992＃512,桃園市,龜山區,龜山區中興路100巷20號
龜山國小,03-3203571＃510,桃園市,龜山區,龜山區萬壽路二段 933巷14號
龜山國中,03-3205681＃512,桃園市,龜山區,龜山區自強西路66號
新路國小,03-3203890＃510,桃園市,龜山區,龜山區永和街12號
楓樹國小,03-3206166＃510,桃園市,龜山區,龜山區光峰路277號
自強國小,03-3590758＃510,桃園市,龜山區,龜山區自強東路269號
壽山高中,03-3501778＃510,桃園市,龜山區,龜山區大同路23號
福源國小,03-3297276＃510,桃園市,龜山區,龜山區大同路916號
龍壽國小,03-3296554＃510,桃園市,龜山區,龜山區龍壽里龍校街30號
壽山國小,03-3291782＃410,桃園市,龜山區,龜山區萬壽路二段六巷61號
南美國小,03-3126250＃512,桃園市,龜山區,龜山區南上路99號
大坑國小,03-3252430＃510,桃園市,龜山區,龜山區大坑路一段850號
大崗國小,03-3282457＃511,桃園市,龜山區,龜山區大湖一路175號
大湖國小,03-3270501＃510,桃園市,龜山區,龜山區文三二街80號
大崗國中,03-3280888＃511,桃園市,龜山區,龜山區文化二路168號
長庚國小,03-3182643＃511,桃園市,龜山區,龜山區長庚里425號
大埔國小,03-3298329＃510,桃園市,龜山區,龜山區振興路1169號
長庚大學,03-2118800＃2107,桃園市,龜山區,桃園市龜山區文化一路259號
長庚科技大學,03-2118999＃5302,桃園市,龜山區,桃園市龜山區文化一路261號
銘傳大學,03-3507001＃3523,桃園市,龜山區,桃園市龜山區大同里德明路 5 號
國立體育大學,03-3283201＃2404,桃園市,龜山區,桃園市龜山區文化一路250號
大華公園,03-3203711＃778,桃園市,龜山區,文化七路、文華國小旁
水美市民活動中心,0936-357733,桃園市,楊梅區,楊梅區水美里楊新路2段2-1號
永揚社福館,0932-105199,桃園市,楊梅區,楊梅區永寧里校前路324巷148號
三湖市民活動中心,0935-551431,桃園市,楊梅區,楊梅區三湖里楊湖路2段491號
上田市民活動中心,0921-092649,桃園市,楊梅區,楊梅區上田里和平路87號
上湖市民活動中心,0953-698208,桃園市,楊梅區,楊梅區上湖里楊湖路3段679號
大合市民活動中心,0930-762067,桃園市,楊梅區,楊梅區大同里自立街2號
大東市民活動中心,0910-934143,桃園市,楊梅區,楊梅區東流里甡甡路440號
金龍市民活動中心,0936-349918,桃園市,楊梅區,楊梅區金龍里中興路236之1號
員本市民活動中心,0928-191410,桃園市,楊梅區,楊梅區員本里2鄰員本路532之1號
高山市民活動中心,03-4781335,桃園市,楊梅區,楊梅區高上里幼獅路3段168號
高榮市民活動中心,0933-082698,桃園市,楊梅區,楊梅區高榮里幼獅路2段390之2號
富岡市民活動中心,0935-026708,桃園市,楊梅區,楊梅區富岡里新明街347巷2弄1號
瑞原市民活動中心,0937-172244,桃園市,楊梅區,楊梅區瑞原里民豐路506之1號
瑞塘市民活動中心,0933-081916,桃園市,楊梅區,楊梅區瑞塘里四維二路20號
豐野市民活動中心,0921-151456,桃園市,楊梅區,楊梅區豐野里信義街83巷25弄23號
楊心國小,"03-4758680
分機520",桃園市,楊梅區,楊梅區楊梅里金華街100號
楊梅國中,"03-4782024
分機510",桃園市,楊梅區,楊梅區紅梅里校前路149號
楊光國中小,"03-4827987
分機510",桃園市,楊梅區,楊梅區三民里瑞溪路一段88號
楊明國小,"03-4754929
分機852",桃園市,楊梅區,楊梅區楊明里中山北路1段390巷50號
瑞塘國小,"03-4316360
分機520",桃園市,楊梅區,楊梅區瑞坪里瑞溪路2段100號
瑞坪國中,"03-4821468
分機511",桃園市,楊梅區,楊梅區瑞坪里文化街535號
仁美國中,"03-4641123
分機511",桃園市,楊梅區,楊梅區高榮里梅獅路539巷1號
瑞埔國小,"03-4822018
分機520",桃園市,楊梅區,楊梅區埔心里中興路133號
四維國小,"03-4822704
分機511",桃園市,楊梅區,楊梅區光華里金龍三路95號
瑞梅國小,"03-4825284
分機520",桃園市,楊梅區,楊梅區梅溪里三元街99號
楊明國中,"03-4781525
分機510",桃園市,楊梅區,楊梅區大同里新農街337號
高榮國小,"03-4782314
分機510",桃園市,楊梅區,楊梅區高山里高上路一段1號
楊梅高中,"03-4789618
分機1401",桃園市,楊梅區,楊梅區高山里高獅路5號
水美國小,"03-4782770
分機510",桃園市,楊梅區,楊梅區水美里楊新路一段410號
大同國小,"03-4782249
分機510",桃園市,楊梅區,楊梅區大同里新農街85號
楊梅國小,"03-4782016
分機510",桃園市,楊梅區,楊梅區永寧里校前路1號
楊梅國中秀才分校,"03-4756261
分機510",桃園市,楊梅區,楊梅區秀才里秀才路919號
上田國小,"03-4782544
分機513",桃園市,楊梅區,楊梅區上田里和平路98號
瑞原國中,"03-4782242
分機550",桃園市,楊梅區,楊梅區瑞原里民豐路69號
瑞原國小,"03-4723280
分機510",桃園市,楊梅區,楊梅區瑞原里民安路1號
上湖國小,"03-4728925
分機510",桃園市,楊梅區,楊梅區上湖里上湖二路88號
富岡國小,"03-4721193
分機510",桃園市,楊梅區,楊梅區豐野里中正路147號
富岡國中,"03-4721113
分機512",桃園市,楊梅區,楊梅區豐野里中正路456號
埔心公園,"03-4783683
分機162",桃園市,楊梅區,楊梅區金龍里金龍一路
大園區老人文康活動中心,0975-510822,桃園市,大園區,大園區田心里大觀路118號
大園市民活動中心,0932-169971,桃園市,大園區,大園區大園里和平東路89號1樓
三石市民活動中心,"03-3831028
0910-155292",桃園市,大園區,大園區三石里9鄰三和路5號
五權第二市民活動中心,"03-3812881
0933-957335",桃園市,大園區,大園區五權里14鄰中正東路二段541號
北港市民活動中心,0933-145579,桃園市,大園區,大園區北港里9鄰潮音二路226號
后厝市民活動中心,"03-3859528
0937-957387",桃園市,大園區,大園區后厝里12鄰中華路595號
埔心市民活動中心,"03-3815295
0915-925969",桃園市,大園區,大園區埔心街82之4號二樓
大園國中,03-3862029＃510,桃園市,大園區,大園區園科路400號
大園國小,03-3862030＃510,桃園市,大園區,大園區中正東路160號
竹圍國中,03-3835026＃511,桃園市,大園區,大園區沙崙里2鄰海港路2巷87號
竹圍國小,03-3835079＃510,桃園市,大園區,大園區竹圍里竹圍街3號
沙崙國小,03-3835072＃510,桃園市,大園區,大園區沙崙里九鄰75之2號
菓林國小,03-3835096＃510,桃園市,大園區,大園區菓林里12鄰41號
溪海國小,03-3862174＃510,桃園市,大園區,大園區和平西路一段420號
潮音國小,03-3862844＃510,桃園市,大園區,大園區潮音路一段188號
內海國小,(03)3862844＃510,桃園市,大園區,大園區學府路76巷32號
圳頭國小,(03)3862504＃510,桃園市,大園區,大園區圳頭路850巷30號
后厝國小,(03)3869583＃510,桃園市,大園區,大園區國際路二段147號
埔心國小,(03)3812304＃510,桃園市,大園區,大園區中正東路一段189巷35號
陳康國小,(03)3811092＃510,桃園市,大園區,大園區大海里建國八村151號
五權國小,(03)3812803＃510,桃園市,大園區,大園區中正東路二段539號
大園國際高中,03-3813001＃511,桃園市,大園區,大園區大成路二段8號
航空城客運園區公1公園,（03）3396122#101,桃園市,大園區,園科路、科二街交叉口
廣福市民活動中心,0966886999,桃園市,觀音區,觀音區福山路二段403巷6號
觀音區公所綠資源中心,0937522132,桃園市,觀音區,觀音區觀新路56號
三和市民活動中心,0932276812,桃園市,觀音區,觀音區三和里5鄰快速路九段783巷62號
上大市民活動中心,0919103049,桃園市,觀音區,觀音區8鄰大湖路一段510號
大同市民活動中心,"0981031060
03-4987666",桃園市,觀音區,觀音區新富路一段595號
大堀市民活動中心,0912829212,桃園市,觀音區,觀音區大堀里新華路二段72號
大潭市民活動中心,0922194893,桃園市,觀音區,觀音區大潭里16鄰保生三街61號
白玉市民活動中心,"0932170790
03-4734160",桃園市,觀音區,觀音區白玉里5鄰玉林路一段180號
武威市民活動中心,0921875749,桃園市,觀音區,觀音區武威里4鄰武威一路10號
保生市民活動中心,0988374901,桃園市,觀音區,觀音區保生里11鄰保成路32號
保障市民活動中心,0937075999,桃園市,觀音區,觀音區保障里10鄰保障二路562號
草漯市民活動中心,0937107188,桃園市,觀音區,觀音區草漯里1鄰忠孝路82號
富林、草新市民活動中心,0988252242,桃園市,觀音區,觀音區富林里一心路180號
富林市民活動中心,0955707078,桃園市,觀音區,觀音區富林里5鄰大觀路三段463號
富源市民活動中心,0912250368,桃園市,觀音區,觀音區富源里新富路801巷65號
崙坪市民活動中心,0937130008,桃園市,觀音區,觀音區學府路65巷5號
塔腳市民活動中心,0912394361,桃園市,觀音區,觀音區塔腳路116號
新興、坑尾市民活動中心,"0932103496
0914116220",桃園市,觀音區,觀音區新興里文化路石橋段453號
廣興市民活動中心,0905879778,桃園市,觀音區,觀音區廣興里7鄰中山路一段413號
樹林市民活動中心,"0935786435
03-4834817",桃園市,觀音區,觀音區泰安街209號
觀音老人會館暨市民活動中心,0937539690,桃園市,觀音區,觀音區觀音里中山路8號
崙坪國小,"03-4981286#510
0932172722",桃園市,觀音區,觀音區崙坪里297-1號
上大國小,"4901174#511
0928211017",桃園市,觀音區,觀音區大湖路一段540號
草漯國小,"4830160#510
0918641250",桃園市,觀音區,觀音區草新里新生路1462號
草漯國中,"4830146#520
0930510947",桃園市,觀音區,觀音區草新里四維路73號
富林國小,"4839049#32
0916196051",桃園市,觀音區,觀音區大觀路3段466號
樹林國小,"4830414#310
0911989628",桃園市,觀音區,觀音區樹林里新村路二段12號
保生國小,"4732054#510
0929585278
",桃園市,觀音區,桃園市觀音區保生里14鄰5號
大潭國小,"4732087#510
0917604532",桃園市,觀音區,桃園市觀音區濱海路大潭段687號
觀音國中,"
4732034#510
0911799887",桃園市,觀音區,桃園市觀音區白玉里下庄子53之1號
觀音國小,"4732009#511
0920811036",桃園市,觀音區,桃園市觀音區文化路2號
新坡國小,(03)4981534＃510,桃園市,觀音區,觀音區中山路二段717號
觀音高中,(03)4981464＃511,桃園市,觀音區,觀音區中山路二段519號
育仁國小,(03)4732720＃530,桃園市,觀音區,觀音區育仁路二段1號
樹林公園,"4732121#109
0931680805",桃園市,觀音區,建國路、民生路交叉口
月眉市民活動中心,0912-217691,桃園市,大溪區,桃園市大溪區月湖路56號
綜合市民活動中心,"03-389-1175
0932-273249",桃園市,大溪區,桃園市大溪區公園路30號2樓
三層市民活動中心,0936-511503,桃園市,大溪區,桃園市大溪區三層老街30號1樓
下田心市民活動中心,"03-3870246
0911-867125",桃園市,大溪區,桃園市大溪區民權東路94巷29號
美華市民活動中心,"03-3886276
0937-813750",桃園市,大溪區,桃園市大溪區美山路一段660號
新峰市民活動中心,0931-394091,桃園市,大溪區,桃園市大溪區復興路二段758巷48號
復興市民活動中心,0935-498259,桃園市,大溪區,桃園市大溪區復興路二段275巷16號
頭寮市民活動中心,0921-087134,桃園市,大溪區,桃園市大溪區復興路一段775號2樓
三元市民活動中心,0937-813870,桃園市,大溪區,桃園市大溪區員林路二段450號
中興市民活動中心,0932-092430,桃園市,大溪區,大溪區大鶯路1450巷26號
仁和市民活動中心,0972-051093,桃園市,大溪區,桃園市大溪區仁和七街159號3樓
仁善市民活動中心,0936-968949,桃園市,大溪區,桃園市大溪區仁德街19號3樓
南興市民活動中心,0910-615821,桃園市,大溪區,桃園市大溪區仁和路二段190巷29號
瑞興市民活動中心,"03-3801239
0932-100568",桃園市,大溪區,桃園市大溪區大鶯路936號
僑愛市民活動中心,0952-455287,桃園市,大溪區,桃園市大溪區僑愛一街55號
大溪高中,"03-3878628#512
0937-958652",桃園市,大溪區,桃園市大溪區康莊路641號
瑞祥國小,"03-3801197#510
0918346769",桃園市,大溪區,桃園市大溪區石園路760巷120號
南興國小,"03-3801721#510
0928-997228",桃園市,大溪區,桃園市大溪區仁和路二段135號
仁善國小,"03-3801710#52
0952-827057",桃園市,大溪區,桃園市大溪區埔頂路二段109號
員樹林國小,"03-3801502#510
0921618460",桃園市,大溪區,桃園市大溪區員林路二段450號
大溪國小,"03-3882040#510
0955-084756",桃園市,大溪區,桃園市大溪區登龍路19號
田心國小,"03-3872008#511
0937-102151",桃園市,大溪區,桃園市大溪區文化路120號
大溪國中,"03-3882024#511
0937-108869",桃園市,大溪區,桃園市大溪區民權東路210號
中興國小,"03-3801394#501
0978102321",桃園市,大溪區,桃園市大溪區大鶯路1125號
僑愛國小,"03-3801895#510
0927-017382",桃園市,大溪區,桃園市大溪區介壽路214號
仁和國小,"03-3076626#510
0958-931747",桃園市,大溪區,桃園市大溪區仁和二街50號
仁和國中,"03-3906626#510
0928603080",桃園市,大溪區,桃園市大溪區仁和七街55號
永福國小,"03-3872008#510
0912-214081",桃園市,大溪區,桃園市大溪區信義路1165號
美華國小,"03-3882403#510
0912-541568",桃園市,大溪區,桃園市大溪區金山路50號
內柵國小,"03-3882461#510
0954085410",桃園市,大溪區,桃園市大溪區安和路38號
福安國小,"03-3882374#510
0983-127967",桃園市,大溪區,桃園市大溪區復興路一段755號
百吉國小,"03-3883956#511
0972-627373",桃園市,大溪區,桃園市大溪區環湖路二段845號
大溪埔頂公園,"03-3882201#501
0921-085700",桃園市,大溪區,桃園市大溪區埔仁路、仁善街交叉口
大溪多目標體育館,"03-3882201#508
0963262367",桃園市,大溪區,桃園市大溪區登龍路22號
三民社區活動中心,0927-201573,桃園市,復興區,復興區三民里5鄰丸山56號
義盛市民活動中心,0915-037889,桃園市,復興區,復興區義盛里1鄰下宇內9號
霞雲社區活動中心,0921-167213,桃園市,復興區,復興區霞雲里6鄰21-1號
奎輝里活動中心,0933-250265,桃園市,復興區,復興區奎輝里3鄰羅馬路3段355號1樓
奎輝獵人學校,0938-860989,桃園市,復興區,復興區奎輝里9鄰14號
長興里辦公處,0927-659297,桃園市,復興區,復興區長興里10鄰35-1號
三光市民活動中心,0975-901044,桃園市,復興區,復興區三光里5鄰18號
華陵里辦公處,0921-167473,桃園市,復興區,復興區華陵里7鄰23之3號
高義教會,0928-297091,桃園市,復興區,復興區高義里6鄰48號
高坡國小,0926-749822,桃園市,復興區,復興區羅浮里7鄰高坡27號
澤仁里辦公處,0973-594722,桃園市,復興區,復興區澤仁里14鄰中正路168之1號
介壽國小,"（03）3822364＃51
0912127410",桃園市,復興區,復興區澤仁里中正路33號
三民國小,"（03）3825294＃51
0931671193",桃園市,復興區,復興區三民里11鄰57號
奎輝國小,"（03）3822177＃510
0985031195",桃園市,復興區,復興區奎輝里羅馬路三段356號
介壽國中,"（03）3822315＃510
0910937206",桃園市,復興區,復興區澤仁里中正路248號
高義國小,"（03）3912313＃25
0926247378",桃園市,復興區,桃園市復興區高義里3鄰28號
三光國小,"（03）3912230＃10
0934154938",桃園市,復興區,桃園市復興區三光里4鄰8號
巴陵國小,"（03）3912131＃311
0963150813",桃園市,復興區,桃園市復興區華陵里9鄰75號
光華小學,"（03）3912325＃520
0975217916",桃園市,復興區,桃園市復興區華陵里四鄰哈嘎灣12號
霞雲國小,"（03）3822224＃51
0988737037",桃園市,復興區,桃園市復興區霞雲里6鄰14號
羅浮國小,"（03）3822269＃511
0955750245",桃園市,復興區,桃園市復興區羅浮里三鄰16號
義盛國小,"（03）3822787＃51
0933776761",桃園市,復興區,桃園市復興區義盛里1鄰宇內路50號
長興國小,"（03）3822178＃58
0928652941",桃園市,復興區,桃園市復興區長興里16鄰43號
羅浮高中,"（03）3825585＃510
0988325193",桃園市,復興區,桃園市復興區18號
角板山公園,"03-3821500#2222
0922518676",桃園市,復興區,中正路、中山路交叉口
